game_language,model,game,experiment,instance,author_role,agentive_persons,user_mentioned,player_count,loops,frustration,confusion,excitement,trace_language_count,suspects_deception,intends_deception,main_score,response_rate,aborted,lose,success,thinking_length,response_length,ratio_thinking_response
de,gpt-oss-120b-t1.0,dond,semi_de,00019,1.0,1.0,0.0,2.0,0.0,0.0,1.375,0.09375,1.46875,0.0,0.0,100.0,1.0,0,0,1,7673,491,0.06399061644728268
de,gpt-oss-120b-t1.0,dond,semi_de,00001,1.0,1.0,0.0,2.0,0.0,0.0,2.2857142857142856,0.21428571428571427,1.0,0.0,0.0,100.0,1.0,0,0,1,6972,278,0.039873780837636257
de,gpt-oss-120b-t1.0,dond,semi_de,00013,1.0,1.0,0.0,2.0,0.0,0.18181818181818182,2.3636363636363638,0.0,1.6818181818181819,0.0,0.0,80.0,1.0,0,0,1,5998,277,0.046182060686895635
de,qwen3-next-80b-a3b-thinking-t1.0,hot_air_balloon,air_balloon_survival_de_reasoning off_easy,00002,1.0,1.0,0.0,2.0,0.0,0.625,3.0,0.625,2.0,0.0,0.0,100.0,1.0,0,0,1,49402,360,0.0072871543662199915
de,qwen3-next-80b-a3b-thinking-t1.0,hot_air_balloon,air_balloon_survival_de_negotiation_hard,00004,1.0,1.1025641025641026,0.07692307692307693,2.076923076923077,0.1282051282051282,1.8461538461538463,3.948717948717949,0.6410256410256411,1.8205128205128205,0.15384615384615385,0.07692307692307693,75.96329942820941,0.95,0,0,1,383816,12611,0.03285688975967651
de,qwen3-next-80b-a3b-thinking-t1.0,hot_air_balloon,air_balloon_survival_de_complexity_easy,00001,1.0,1.0,0.0,2.0,0.0,1.0625,3.8125,0.6875,1.8125,0.1875,0.0,99.19634951985289,1.0,0,0,1,196972,7376,0.03744694677416079
de,qwen3-next-80b-a3b-thinking-t1.0,hot_air_balloon,air_balloon_survival_de_reasoning off_hard,00000,1.0,1.1159420289855073,0.13043478260869565,2.028985507246377,0.15942028985507245,1.3043478260869565,3.7681159420289854,0.2753623188405797,1.9710144927536233,0.057971014492753624,0.08695652173913043,0.0,1.0,1,0,0,701172,11183,0.01594901108429886
de,qwen3-next-80b-a3b-thinking-t1.0,hot_air_balloon,air_balloon_survival_de_complexity_hard,00001,0.5882352941176471,1.0588235294117647,0.47058823529411764,1.6470588235294117,0.7058823529411765,1.588235294117647,4.823529411764706,0.7647058823529411,1.2941176470588236,0.0,0.0,97.4543018470667,1.0,0,0,1,116909,3380,0.028911375514288892
de,qwen3-next-80b-a3b-thinking-t1.0,hot_air_balloon,air_balloon_survival_de_negotiation_easy,00002,1.0,1.0,0.0,2.0,0.0,0.8888888888888888,3.0,0.4444444444444444,1.3333333333333333,0.0,0.0,100.0,1.0,0,0,1,53237,2306,0.04331573905366568
de,qwen3-next-80b-a3b-thinking-t1.0,clean_up,1_medium_5obj_de,00002,0.8817204301075269,1.4731182795698925,0.0,1.946236559139785,0.4946236559139785,1.4193548387096775,5.258064516129032,0.20430107526881722,1.8602150537634408,0.0,0.0,90.27977931494048,1.0,0,0,1,298586,1799,0.006025064805449686
