game,experiment,model_pretty,acronym,main_score,played_rate
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,LLaMA-3.3-70B Instruct,L70,50.25362656189728,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,96.31467044649185,0.16666666666666666
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,Qwen3-Next-80B,Q80,38.99743618924986,0.8333333333333334
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,Qwen3-Next-80B (reasoning),Q80R,99.99114103472715,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,Claude Sonnet 4,CS4,78.42582515659393,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,Claude Sonnet 4 (reasoning),CS4R,81.00976328681794,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,DeepSeek Chat v3.1 (reasoning),DS3R,74.95245218067605,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,67.43669247112507,0.8333333333333334
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,GPT-5,G5,77.73483921696285,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,GPT-5 (reasoning),G5R,94.49416956249713,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,GPT-5 Mini,G5m,69.49941018216701,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,GPT-5 Mini (reasoning),G5mR,78.76503623810993,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,GPT-OSS 120B (reasoning),O120R,83.7011447428608,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,LLaMA-3.3-70B Instruct,L70,44.26147519152889,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,48.06557557039749,0.8333333333333334
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,Qwen3-Next-80B,Q80,41.11857323068551,0.5
hot_air_balloon,air_balloon_survival_de_reasoning off_hard,Qwen3-Next-80B (reasoning),Q80R,51.726751741107954,0.5
